year,CLF
1851,1.007747463
1852,1.007747463
1853,1.007747463
1854,1.007747463
1855,1.007747463
1856,1.007747463
1857,1.007747463
1858,1.007747463
1859,1.007747463
1860,1.007747463
1861,1.007747463
1862,1.007747463
1863,1.007747463
1864,1.007747463
1865,1.007747463
1866,1.007747463
1867,1.007747463
1868,1.007747463
1869,1.007747463
1870,1.007747463
1871,1.007747463
1872,1.007747463
1873,1.007747463
1874,1.007747463
1875,1.007747463
1876,1.007747463
1877,1.007747463
1878,1.007747463
1879,1.007747463
1880,1.007747463
1881,1.007747463
1882,1.007747463
1883,1.007747463
1884,1.007747463
1885,1.007747463
1886,1.007747463
1887,1.007747463
1888,1.007747463
1889,1.007747463
1890,1.007747463
1891,1.007747463
1892,1.007747463
1893,1.007747463
1894,1.007747463
1895,1.007747463
1896,1.007747463
1897,1.007747463
1898,1.007747463
1899,1.007747463
1900,1.007747463
1901,1.007747463
1902,1.007747463
1903,1.007747463
1904,1.007747463
1905,1.007747463
1906,1.007747463
1907,1.007747463
1908,1.007747463
1909,1.007747463
1910,1.007747463
1911,1.007747463
1912,1.007747463
1913,1.007747463
1914,1.007747463
1915,1.007747463
1916,1.007747463
1917,1.007747463
1918,1.007747463
1919,1.007747463
1920,1.007747463
1921,1.007747463
1922,1.007747463
1923,1.007747463
1924,1.007747463
1925,1.007747463
1926,1.007747463
1927,1.007747463
1928,1.007747463
1929,1.007747463
1930,1.007747463
1931,1.007747463
1932,1.007747463
1933,1.007747463
1934,1.007747463
1935,1.007747463
1936,1.007747463
1937,1.007747463
1938,1.007747463
1939,1.007747463
1940,1.007747463
1941,1.007747463
1942,1.007747463
1943,1.007747463
1944,1.007747463
1945,1.007747463
1946,1.007747463
1947,1.007747463
1948,1.007747463
1949,1.007747463
1950,1.007747463
1951,1.007747463
1952,1.007747463
1953,1.007747463
1954,1.007747463
1955,1.007747463
1956,1.007747463
1957,1.007747463
1958,1.007747463
1959,1.007747463
1960,1.007747463
1961,1.007747463
1962,1.007747463
1963,1.007747463
1964,1.007747463
1965,1.007747463
1966,1.007747463
1967,1.007747463
1968,1.007747463
1969,1.007747463
1970,1.007747463
1971,1.007747463
1972,1.007747463
1973,1.007747463
1974,1.007747463
1975,1.007747463
1976,1.007747463
1977,1.007747463
1978,1.007747463
1979,1.007747463
1980,1.007747463
1981,1.007747463
1982,1.007747463
1983,1.007747463
1984,1.007747463
1985,1.007747463
1986,1.007747463
1987,1.007747463
1988,1.007747463
1989,1.007747463
1990,1.007747463
1991,1.007747463
1992,1.007747463
1993,1.007747463
1994,1.007747463
1995,1.007747463
1996,1.007747463
1997,1.007747463
1998,1.007747463
1999,1.007747463
2000,1.007747463
2001,1.007747463
2002,1.007747463
2003,1.007747463
2004,1.007747463
2005,1.007747463
2006,1.007747463
2007,1.007747463
2008,1.007747463
2009,1.007747463
2010,1.007747463
2011,1.007747463
2012,1.007747463
2013,1.007747463
2014,1.007747463