"year2","avgfsize"
1977,19.3369478302924
1978,20.0765284465998
1979,20.571188204804
1980,20.7266921524366
1981,20.6189680174689
1982,20.6666066405863
1983,19.7161222311305
1984,20.1725183493138
1985,20.3479377112846
1986,20.4297425790654
1987,20.4919080959712
1988,20.8250980806963
1989,21.467596956503
1990,21.475297354076
1991,20.9519705147698
1992,20.9463693922935
1993,20.9594904956811
1994,20.9906442569228
1995,21.3456194600213
1996,21.3932549702845
1997,21.7127948731707
1998,22.157594226631
1999,22.6063140858824
2000,23.2823693601677
2001,23.3550993334343
2002,22.7814260773197
2003,22.6490765708451
2004,22.5633699435993
2005,22.4033570377312
2006,22.8995472401573
2007,22.82950119074
2008,23.0344589923395
2009,22.5423479141054
2010,22.3668724165603
2011,22.8248774799695
2012,23.0469501651789
2013,23.3321351481244
2014,23.5473479928304
2015,23.82191298