SizeCat,FSizeDist1978,FEmpDist1978,FSizeDist2014,FEmpDist2014
1,0.575444639,0.066133452,0.559814723,0.050160017
5,0.204474979,0.071081611,0.201550058,0.056440225
10,0.115110758,0.082112946,0.119627471,0.069278635
20,0.067887604,0.108119904,0.075076586,0.098063876
50,0.020787427,0.074799347,0.023166887,0.068757573
100,0.010440946,0.081535139,0.01283613,0.083811521
250,0.00286879,0.050533861,0.003870502,0.056476899
500,0.001405163,0.049201673,0.001909758,0.054216753
1000,0.000857959,0.06341528,0.001170478,0.070824063
2500,0.000318818,0.049043342,0.000451552,0.057019279
5000,0.000194978,0.050422494,0.000255122,0.057044559
10000,0.000207938,0.253600951,0.000270734,0.277906602