Year,BLS_LS
1948,0.660686471
1949,0.665001904
1950,0.652439867
1951,0.651820943
1952,0.665352595
1953,0.679216418
1954,0.67834156
1955,0.659804509
1956,0.673094857
1957,0.675294609
1958,0.674540283
1959,0.666561542
1960,0.675729913
1961,0.673470047
1962,0.668365624
1963,0.661785348
1964,0.663208555
1965,0.655448968
1966,0.661185626
1967,0.667295389
1968,0.669802459
1969,0.68124106
1970,0.693089362
1971,0.68287403
1972,0.677715517
1973,0.678941564
1974,0.689323712
1975,0.668517474
1976,0.669037267
1977,0.667311164
1978,0.672150193
1979,0.68174341
1980,0.687708125
1981,0.673936748
1982,0.672904523
1983,0.669118426
1984,0.658364313
1985,0.66343024
1986,0.675212961
1987,0.668311747
1988,0.672502646
1989,0.662566558
1990,0.67007787
1991,0.672739321
1992,0.676254824
1993,0.670503155
1994,0.663911549
1995,0.660790554
1996,0.660844722
1997,0.661559301
1998,0.675413057
1999,0.675584807
2000,0.685509557
2001,0.684805143
2002,0.676389244
2003,0.662848983
2004,0.653285966
2005,0.638105028
2006,0.638352736
2007,0.637281611
2008,0.634766926
2009,0.630414418
2010,0.616537404
2011,0.617645131
2012,0.620856921
2013,0.611815366
2014,0.616788728
2015,0.628223199