,Emp Share 250+
1978,0.516217601
1979,0.513791682
1980,0.526358367
1981,0.530876133
1982,0.530757197
1983,0.52318711
1984,0.514109079
1985,0.511429896
1986,0.507852372
1987,0.50803086
1988,0.513193402
1989,0.520751852
1990,0.52102094
1991,0.525714158
1992,0.525268724
1993,0.525494152
1994,0.525369389
1995,0.527680465
1996,0.530155633
1997,0.532360313
1998,0.539443316
1999,0.546184476
2000,0.549604633
2001,0.553580481
2002,0.547934811
2003,0.542825567
2004,0.541012059
2005,0.545009213
2006,0.546884638
2007,0.553430993
2008,0.558386179
2009,0.561555769
2010,0.560077125
2011,0.566026976
2012,0.567578073
2013,0.572228654
2014,0.573488154